duplicate_row_number,term,definition,first_seen_term,first_seen_definition,same_definition
345,ADVANCE PAYMENT,"Payments in advance of delivery
for a mutually agreed amount
or for a specified percentage
of the purchase price that the
buyer shall pay to the seller.
AfCFTA:
Abbreviation for: African
Continental Free Trade Area.",Advance Payment,Payments in advance of delivery for a mutually agreed amount or a specified percentage of the purchase price that the buyer shall pay to the seller.,false
349,Advanced Contract Award Notice,A notice of intent to solicit a bid and negotiate with a single firm. Other suppliers are not invited to bid on these requirements but can forward letters of intent indicating their interest before the closing date. Notice of bidding requests will then be solicited from letters of interest that have been received.,ADVANCED CONTRACT AWARD NOTICE,A notice of intent to solicit a bid and negotiate with a single firm. Other suppliers are not invited to bid on these requirements but can forward letters of intent indicating their interest before the closing date. Notice of bidding requests will then be solicited from letters of interest that have been received.,true
376,Affirmative Action,"(1) A requirement by certain governments that requires organisations achieve a work force that reflects the demographic composition of the nation.(2) A process of taking special or unusual steps to assure that businesses owned by designated nationals, youth and and/or women will have equal and or preferential access to the procurement contracts.",AFFIRMATIVE ACTION,"(1)A requirement by certain governments that requires organisations achieve a work force that reflects the demographic composition of the nation.(2) A process of taking special or unusual steps to assure that businesses owned by designated nationals, youth and and/or women will have equal and or preferential access to the procurement contracts.",false
401,AGENCY,"A legal entity denoting the legal
relationship that exists between two
parties, in which one is authorised
to perform or transact specified
business activities for the other.",Agency,"A legal entity denoting the legal relationship that exists between two parties, in which one is authorised to perform or transact specified business activities for the other.",false
403,AGENCY PROBLEM,"Conflict to interest between buyer
and seller due to conflicting goals
and information asymmetry.
Situation where agent will act
primarily out of self-interest.",Agency Problem,Conflict of interest between buyer and seller due to conflicting goals and information asymmetry,false
406,Agenda 2063,"A strategic framework for the socio- economic transformation of the continent over the next 50 years. Its builds on, and seeks to accelerate the implementation of past and existing continental initiatives for growth and sustainable development. Some of the past and current initiatives it builds on include: the Lagos Plan of Action, The Abuja Treaty, The Minimum Integration Programme, the Programme for Infrastructural Development in Africa (PIDA), the Comprehensive Africa",AGENDA 2063,"A strategic framework for the socioeconomic transformation of the continent over the next 50 years. Its builds on, and seeks to accelerate the implementation of past and existing continental initiatives for growth and sustainable development. Some of the past and current initiatives it builds on include: the Lagos Plan of Action, The Abuja Treaty, The Minimum Integration Programme, the Programme for Infrastructural Development in Africa (PIDA), the Comprehensive Africa Agricultural Development Programme (CAADP), The New partnership for Africa’s Development (NEPAD), Regional Plans and Programmes and National Plans. It is also built on national, regional, continental best practices in its formulation.",false
413,Agglomerated Procurement,Different organizations combining their procurement requirements.,AGGLOMERATED PROCUREMENT,Different organisations combining their procurement requirements.,false
417,Aggregate Forecast,"1.Forecasting of future demand for a family of products, or for a single product, across multiple dimensions of source – including planned production and customer orders.  2.An estimate of sales, often time phased, for a grouping of products or product families produced by a manufacturing facility or firm. Stated in terms of units or dollars, or both, the aggregate forecast is used for sales and aggregate planning purposes.",AGGREGATE FORECAST,"Forecasting of future demand for a family of products, or for a single product, across multiple dimensions of source—including planned production and customer orders. 2. An estimate of sales, often time phased, for a grouping of products or product families produced by a manufacturing facility or firm. Stated in terms of units or dollars, or both, the aggregate forecast is used for sales and aggregate planning purposes.",false
424,Aggregate Supply,The total quantity of output producers are willing and able to supply at alternative price levels in a given time period.,AGGREGATE SUPPLY,The total quantity of output producers are willing and able to supply at alternative price levels in a given time period.,true
434,Agio,Extra amount over and above the market price which is paid in countertrade transactions and results from the particular costs of countertrade.,AGIO,The price increase over and above the market price of the traded goods and attributable to the extra costs involved in countertrading.,false
442,AGREEMENT,"A negotiated understanding
between two or more parties.AGREEMENT WITH PRICE",Agreement,A negotiated understanding between two or more parties.,false
445,Agribusinesss,Farming industry on a large corporate scale.,AGRIBUSINESSS,Farming industry on a large corporate scale.,true
502,All-Or-None Bid,A tender/offer submitted for a number of different goods or services in which the tenderer stipulates that the tender/offer is valid only if the contract is awarded for all items included in his tender/offer.,ALL-OR-NONE BID,A tender/offer submitted for a number of different goods or services in which the tenderer stipulates that the tender/offer is valid only if the contract is awarded for all items included in his tender/offer.,true
507,ALLIANCE,"A strategic long-term relationship of the
buyer with supplier, comprising early
supplier involvement for collaboration,
with the goal of synergy (concern for
each other’s wellbeing) it is a long
duration activity with high collaboration
and high competitive advantage.",Alliance,A group of airlines or ocean carriers who coordinate and cross list schedules and sell capacity on each other’s flights or voyages.,false
512,ALLOCATION,"A reservation of material based on an
accepted order or system-generated
planned order. The on-hand balance
of an item, less the allocation, leaves
the balance available for production
or to promise to customer orders.",Allocation,"A reservation of material based on an accepted order or system-generated planned order. The on-hand balance of an item, less the allocation, leaves the balance available for production or to promise to customer orders",false
538,Amendment,Any change made to the terms of a credit. The applicant initiates the amendment which then follows the same process as a letter of credit.,AMENDMENT,Any change made to the terms of a credit. The applicant initiates the amendment which then follows the same process as a letter of credit.,true
613,ANTI-DUMPING DUTY,"A tariff imposed to discourage
sale of foreign goods, subsidized
to sell at low prices detrimental
to local manufacturers.
205Glossary  | Applicant
| Some Useful Strategic Sourcing Related Terms",Anti-Dumping Duty,"1.An additional import duty imposed in instances where imported goods are priced at less than the normal price charged in the exporter’s domestic market and cause material injury to domestic industry in the importing country. 2.A tariff imposed to discourage sale of foreign goods, subsidised to sell at low prices detrimental to local manufacturers",false
642,Applicant,"A buyer who has requested his/her bank to arrange an L/C on his behalf. In some countries where the buyer may have trouble arranging an import license, the applicant may be a third party acting on behalf of the buyer.",APPLICANT,"A buyer who has requested his/her bank to arrange an L/C on his behalf. In some countries where the buyer may have trouble arranging an import license, the applicant may be a third party acting on behalf of the buyer.",true
652,APPRAISEMENT,"Determination of the dutiable value of
imported merchandise by a Customs
official who follows procedures outlined
in their country's tariff guidelines.",Appraisement,"Determination of the dutiable value of imported merchandise by a customs official who follows procedures outlined in their country’s tariff, such as the U.S. Tariff Act of 1930.",false
655,Apprenticeship,An agreement between an apprentice,APPRENTICESHIP,an agreement between an apprentice and an employer for a set period of time during which the apprentice works and receives training in the workplace.,false
657,Appropriation,Sum of money from public funds set aside for a specific purpose.,APPROPRIATION,Sum of money from public funds set aside for a specific purpose.,true
667,APS,Abbreviation for: Advanced Planning and Scheduling; Advanced Planning Systems; and Airport Planning Standard.,APS,Abbreviation for: Advanced Planning and Scheduling; Advanced Planning Systems; and Airport Planning Standard.,true
674,ARBITRAGE,"The simultaneous purchase and
sale of a good in order to profit
from a difference in price.",Arbitrage,"It implies purchasing a security, commodity, or currency in one market with the intention of financial gain. In international currency transactions, profits can be made by simultaneous buying and selling of one, or more than one, currency. In arbitrage it is the aberration in the market that is taken advantage of",false
801,AUCTION,"An process of buying and selling goods
or services by inviting competing
bids from a number of participants.
Competing participants in an auction
may or may not know the identities or
actions of other competitors. Forward
auctions involve buyers submitting
competing bids, with the price typically
increasing during the auction. Reverse
auctions involve sellers submitting
competing bids, with the bids usually
decreasing during the auction. Online
reverse auctions are a common tool
for procurement practitioners seeking
to harness competitive tension for
relatively undifferentiated categories.
Some platforms allow the buyer to
evaluate bids against a variety of
criteria as well as price, and bidders
may have visibility on the actual prices
bid, or simply the ranking of their offer
in terms of competitiveness against
the other bids received by the buyer.",Auction,"Selling of goods or services to the buyer with the highest offer at the time of a sale. Usually, at the time of return approval, the product owner may elect to route the product to an auction service after receipt at a returns processing centre.",false
804,"AUCTION, FORWARD","An e-auction which is used by
suppliers to enforce bidding among
based on a starting price that is
increased during the auction.","Auction, Forward",An e-auction used by suppliers to enforce bidding among a number of prospective buyers based on a starting price that is increased during the auction.,false
806,"AUCTION, REVERSE","An e-auction which is used by buyers
to enforce competitive bidding among
a limited number of prequalified
suppliers based on a starting price
that is lowered during the auction.","Auction, Reverse",An e-auction used by buyers to enforce competitive bidding among a limited number of prequalified suppliers based on a starting price that is lowered during the auction.,false
808,AUDIT,"Detailed review and examination
of records, documents and
business processes.",Audit,A methodical examination and review of a situation or condition (as within a business enterprise) concluding with a detailed report of findings.,false
812,"AUDIT, PRODUCT","The product audit provides an
image of degree to which a company
succeeds in making everything
run perfectly, i.e.. according to
the standards and requirements
established by the company itself.","Audit, Product","The product audit provides an image of the degree to which a company succeeds in making everything run perfectly, i.e., according to the standards and requirements established by the company itself.",false
814,"AUDIT, SYSTEMS","Assessing the internal quality and
control system of an organisation
using a system approach.","Audit, Systems",Assessing the internal quality and control system of an organisation using a systems approach.,false
872,Avoidance,Finding ways to minimize the number of items that are returned,AVOIDANCE,Finding ways to minimize the number of items that are returned.,false
929,BACK ORDER,"In supply chain terms when a customer order cannot be immediately fulfilled from stock, the customer requirement may be placed on ‘back order’. This implies that a replenishment order will be raised on the next tier of the supply chain and, when sufficient materials are available, the outstanding ordered amount will be forwarded to the original customer.",Back Order,"Product ordered, but out of stock, and promised to ship when the product becomes available.  1.The act of retaining a quantity to ship against an order when other order lines have already been shipped. Back orders are usually caused by stock shortages. 2.The quantity remaining to be shipped if an initial shipment(s) has been processed. Note: In some cases back orders are not allowed, this results in a lost sale when sufficient quantities are not available to completely ship and order or order line",false
931,BACK ORDER RATE,"Measures how many orders cannot be
filled at the time a customer places them. A high back order rate means
customers are forced to wait while you
attempt to fill their order, which will
adversely affect customer satisfaction
and retention in the long term.",Back Order Rate,"This measures how many orders cannot be filled at the time a customer places them. A high back order rate means customers are forced to wait while you attempt to fill their order, which will adversely affect customer satisfaction and retention in the long term.",false
935,BACK SOURCING,"Pulling a function back in-house as
an outsourcing contract expires.",Back Sourcing,Pulling a function back in-house as an outsourcing contract expires.,false
965,BALANCE OF TRADE,"The difference between a country's
total exports and total imports.
Also known as ""net exports.""",Balance of Trade,The difference between the value of a country’s exports and imports.,false
966,Balance Of Trade,See on page 56,Balance of Trade,The difference between the value of a country’s exports and imports.,false
992,BANK GUARANTEE,"Bank secures payment for
agreed sum in case client may
fail in making payments.",Bank Guarantee,Guarantee issued by a bank to a carrier to be used in lieu of lost or misplaced original negotiable bill of lading,false
1015,BARGAINING,"A situation in which two or more parties
haggle to reach a conclusion. Bargaining
rarely results in a win-win outcome.
Main reason for bargaining is price.",Bargaining,A situation in which two or more parties haggle to reach a conclusion. Bargaining rarely results in a win-win outcome.,false
1030,Barter,Goods and/or services are exchanged against other goods and/or services of equivalent value. No money changes hands between the buyer and seller.,BARTER,Goods and/or services are exchanged against other goods and/or services of equivalent value. No money changes hands between the buyer and seller.,true
1044,BASIC DESIGN AND ENGINEERING,"Activities needed to develop technical
specification of the work.",Basic Design and Engineering,Activities needed to develop the technical specification of the work.,false
1073,BATTLE OF FORMS,"Disputes that may arise over
whether supplier or buyer general
terms and conditions will apply
to a commercial transaction.
Best Alternative to a Negotiated
Offer describes the option for a
negotiator if agreement cannot
be reached. It proposes that a
negotiator who must reach a deal is
in a weaker position than a negotiator
who has an alternative option.",Battle of Forms,Disputes that may arise over whether supplier or buyer general terms and conditions will apply to a commercial transaction,false
1124,BEGINNING INVENTORY,"The wholesale dollar amount of
inventory on hand at the beginning
of an Accounting Cycle.",Beginning Inventory,The calculated (perpetual) inventory at the start of an accounting period; often generated from month-end close functions that use the ending inventory of one period as the beginning inventory of the next.,false
1142,BENCHMARKING,"Learning approach originally
consisting of observing and
209Glossary  | Beneficiary
| Some Useful Strategic Sourcing Related Terms
analysing the management of certain
processes in a company, operating
in a different business, but with
comparable challenges. By extension,
benchmarking now designates the
approach of comparing a company’s
performance for a given process (the
logistics process, for example) to
that of the leader in their sector.",Benchmarking,"Learning approach originally consisting of observing and analyzing the management of certain processes in a company, operating in a different business, but with comparable challenges. By extension, benchmarking now designates the approach of comparing a company’s performance for a given process (the logistics process, for example) to that of the leader in their sector.",false
1146,BENEFICIARY,"Entity to whom money is payable.
The entity for whom a letter
of credit is issued. The seller
and the drawer of a draft.",Beneficiary,Entity to whom money is payable. The entity for whom a letter of credit is issued. The seller and the drawer of a draft.,false
1171,BEST,Abbreviation for: Better Environmentally Sound Transportation (BC).,BESt,Abbreviation for: Building Environmental Standards (with BOMA).,false
1175,BEST BUY,"It refers to a purchase made
representing a combination of
price, quality, timing and other
elements of required service
that are optimal in respect to the
organisational requirement.",Best Buy,"It refers to a purchase made representing a combination of price, quality, timing and other elements of required service that are optimal in respect to the organisational requirement.",false
1179,BEST PRACTICE,"State-of-industry performance or
application. Standard published
operating methods found to produce
the best performance and results in
a given industry or organisation.",Best Practice,State-of-industry performance or application. Standard published operating methods found to produce the best performance and results in a given industry or organization.,false
1182,Best Value,"The intended acquisitive outcome that considers various factors, vendor performance, price, environmental considerations, socio-economic impact, etc.",BEST VALUE,"The intended acquisitive outcome that takes into account various factors, vendor performance, price, environmental considerations, socio-economic impact, etc.",false
1203,BID,"The word ‘bid’ is used generically to
describe any proposals and may be
used both to describe the buyer’s issue
of the ‘bid documents’ to potential
bidders and, the actual submission
of bids by the respondents. The term
encompasses quotes, proposals,
tenders and auction offers.BID OPENING
Stage in a bidding process where the
received bid-envelopes are opened
and examined by the advertiser
(called buyer, client, customer, or
owner) of an invitation to-bid (ITB).
In an open or public bid opening,
the bidders (and other parties) are
allowed to witness the process and
inspect the bids, in a closed opening
only the owner's staff is present.",Bid,"A quotation specifically given to a prospective purchaser upon request, usually in competition with other vendors.",false
1207,BID BOND,"A sum agreed to be paid by a
company that wins a contract if
the work is not carried out.",Bid Bond,"Also known as Bid security, it is a monetary document submitted by a tender along with the bid. It ensures bidders are serious, as the bond is forfeited if the bidder refuses to accept the order later.",false
1209,Bid Mistakes,"Minor errors made in the form of bidding; for example, failure to insert a decimal point. Clerical mistakes, apparent on the face of the bid, may be",BID MISTAKES,"Minor errors made in the form of bidding; for example, failure to insert a decimal point. Clerical mistakes, apparent on the face of the bid, may be corrected. Once a mistake is suspected, the purchasing official is required to request verification of the bid.",false
1213,Bid Rigging,"Bid rigging occurs when suppliers communicate with each other before lodging their bids and agree amongst themselves who will be the successful bidder and at what price. This practice is one type of collusive tendering and may be discouraged by introducing new bidders and, regularly benchmarking offers against industry standards.",BID RIGGING,"Bid rigging occurs when suppliers communicate with each other before lodging their bids and agree amongst themselves who will be the successful bidder and at what price. This practice is one type of collusive tendering and may be discouraged by introducing new bidders and, regularly benchmarking offers against industry standards.",true
1216,BIDDER,"Any natural or legal person submitting
a bid or a price quotation",Bidder,Any natural or legal person submitting a bid or a price quotation.,false
1229,BILATERAL CONTRACT,"A contract in which both of the
contracting parties made promises to
each other. Usually, such a contract is
formed when an offer is considered and
accepted by the purchaser or offeree.",Bilateral Contract,"A contract in which both of the contracting parties made promises to each other. Usually, such a contract is formed when an offer is considered and accepted by the purchaser or offeree.",false
1291,BLANKET PURCHASE ORDER,"A long-term commitment to a supplier
for material against which short-
term releases will be generated to
satisfy requirements. Often blanket
orders cover only one item with
predetermined delivery dates.",Blanket Purchase Order,"A long-term commitment to a supplier for material against which short- term releases will be generated to satisfy requirements. Often blanket orders cover only one item with predetermined delivery dates. Syn.: blanket order, standing order",false
1316,Blueprint,"Detailed design and specifications, indicated by a drawing, of the required product.",BLUEPRINT,"Detailed design and specifications, indicated by a drawing, of the required product.",true
1403,BOTTLENECK PRODUCTS,"Items that represent a relatively
limited value in terms of money,
but they are vulnerable with regard
to their supply. They can only be
obtained from one supplier.BOUNDED RATIONALITY
Different contractual perspectives
due to incomplete information
and self- interest.",Bottleneck Products,These items represent a relatively limited value in terms of money but they are vulnerable with regard to their supply. They can only be obtained from one supplier,false
1456,Breach Of Warranty,"Refers to the failure of a seller to fulfill the terms of a promise, claim, or representation made concerning the quality or type of the product.",Breach of Warranty,If the material or product fails to meet the quality or other specification warranted by the supplier breach of warranty is said to have occurred,false
1477,Bridge Financing,Interim financing for a product or service.,BRIDGE FINANCING,Interim financing for a product or service.,true
1528,BUDGET,"The itemized summary of estimated or
intended expenditures of money and
resources for the fulfillment of facility
services for a given period of time.",Budget,"1.A plan expressed in financial terms that spell out intended actionsand the funding levels required for their completion. There may be a direct materials budget, capital expenditures budget, and an operating expenses budget. 2.A planning, control and reporting system that estimates future costs and revenues based on projected operating levels. It provides target spending levels and profit estimation, and allows for interim review and corrective action.",false
1530,BUDGET AUTHORITY,"Allows a manager to spend money
and resources of the company
from company resources.",Budget Authority,Allows a manager to spend money and resources of the company for company purposes,false
1549,Bulk Buying,The system of aggregating total requirements (generally of all users) of a product or service for a single purchase order or a series of orders for large quantities which would not have been possible if demand was met on a fragmented basis. Bulk buying is advantageous for getting favourable terms from tenderers as well as in effecting other economies.,BULK BUYING,The system of aggregating total requirements (generally of all users) of a product or service for a single purchase order or a series of orders for large quantities which would not have been possible if demand was met on a fragmented basis. Bulk buying is advantageous for getting favourable terms from tenderers as well as in effecting other economies.,true
1597,Business Justification,"A reason or defence for proceeding with a purchase in a non-competitive environment, such as a sole source.",BUSINESS JUSTIFICATION,"A reason or defense for proceeding with a purchase in a non-competitive environment, such as a sole source.",false
1599,BUSINESS LOGISTICS,"The systematic and coordinated set
of activities required to provide the
physical movement and storage of goods
(raw materials, parts, finished goods)
from vendor/supply services, through
company facilities, to the customer
(market) and the associated activities
(e.g. packaging, order processing,
etc.)―in a manner which will enable
the organisation to contribute to the
explicit goals of the company.",Business Logistics,"The systematic and coordinated set of activities required to provide the physical movement and storage of goods (raw materials, parts, finished goods) from vendor/ supply services, through company facilities, to the customer (market) and the associated activities (e.g. packaging, order processing, etc.) — in a manner which will enable the organisation to contribute to the explicit goals of the company.",false
1623,Buyer Credit,A financing arrangement under which a lending bank in the supplier's country lends directly to the buyer or to a bank in the buyer's country to enable the buyer to make payments due to the supplier under a contract.,BUYER CREDIT,A financing arrangement under which a lending bank in the supplier’s country lends directly to the buyer or to a bank in the buyer’s country to enable the buyer to make payments due to the supplier under a contract.,false
1626,BUYER’S MARKET,"A ‘buyer’s market’ is considered to
exist when goods can easily be secured
and when the economic forces of
business tend to cause goods to be
priced at the purchaser’s estimate
of value. In other words, a state of
trade favorable to the buyer, with
relatively large supply and low prices.",Buyer’s Market,A market condition in which supply exceeds demand and the economic forces of business cause prices to be close to the purchase’s estimated cost.,false
1630,BUYING CENTRE,"Relates to all those individuals
and groups who participate in the
purchasing decision-making process,
who share some common goals
and risks arising from the decisions
(identical to decision-making unit).",Buying Centre,"Relates to all those individuals and groups who participate in the purchasing decision-making process, who share some common goals and the risks arising from the decisions (identical to decision-making unit).",false
1634,BUYING STRATEGIES,"Strategies that determine the frequency
and timing of acquisitive process.
These strategies are influenced",Buying Strategies,Strategies that determine the frequency and timing of purchases. These strategies are influenced mainly by market forces.,false
1687,CALL-OFF ORDERS,"A strategy to delay delivery of items that
are not needed immediately. Instead, you
“call off” the items from the purchase
order that you want, as you need them.",Call-off Orders,"A strategy to delay delivery of items that are not needed immediately. Instead, you “call off” the items from the purchase order that you want, as you need them.",false
1700,CAMP’S FORMULA,"Mathematical formula based
upon inventory costs and ordering
costs to decide about optimal
economic order quantity (EOQ).",Camp’s Formula,Mathematical formula based upon inventory costs and ordering costs to decide about optimal economic order quantity (EOQ).,false
1713,CAPACITY,"The amount of goods and services
that an organisation can produce or
provide in a given time interval.",Capacity,1. The maximum throughput of a process in a given time. 2. For auto mode: The maximum number of vehicles that reasonably can be expected to traverse a point or a uniform section of roadway during a given period under prevailing conditions.,false
1715,Capacity Analysis,An analysis most frequently employed in a machine or process area to project capacity for additional business.,CAPACITY ANALYSIS,An analysis most frequently employed in a machine or process area to project capacity for additional business.,true
1721,CAPACITY PLANNING,"Ensuring that needed resources (e.g.,
manufacturing capacity, distribution
centre capacity, transportation
vehicles, etc.) will be available at the
right time and place, in order to meet
logistics and supply-chain needs.",Capacity Planning,"Ensuring that needed resources (e.g., manufacturing capacity, distribution centre capacity, transportation vehicles, etc.) will be available at the right time and place, in order to meet logistics and supply-chain needs.",false
1731,Capital Expenditures (CAPEX),Incurred when a business spends money either to buy fixed assets or to add to the value of an existing,CAPITAL EXPENDITURES (CAPEX),"Incurred when a business spends
money either to buy fixed assets
or to add to the value of an existing
fixed asset with a useful life
extending beyond the taxable year.",false
1734,Capital Project,"A project specifically intended to acquire or improve a capital asset. Acquisition of a capital asset refers to obtaining the use of that asset over the long term, irrespective of whether the method of acquisition is construction, purchase, lease/purchase or lease. A project to improve a capital asset is considered to be a capital project when the performance, value or capability of that asset is significantly increased or its useful or economic life is extended by more than one year.",CAPITAL PROJECT,"A project specifically intended to
acquire or improve a capital asset.
Acquisition of a capital asset refers to
obtaining the use of that asset over the long term, irrespective of whether the
method of acquisition is construction,
purchase, lease/purchase or lease.
A project to improve a capital asset
is considered to be a capital project
when the performance, value or
capability of that asset is significantly
increased or its useful or economic life
is extended by more than one year.",false
1757,Cardinal Rule,"(1) To give plain meaning to contract terms unless the agency or legislation assigned a special meaning to the term. (2) When silent to an interpretation, cardinal rule allows for the meaning which fits most logically and comfortably into the body of both previously and subsequently enacted law to be utilised.",CARDINAL RULE,"(1) To give plain meaning to contract terms unless the agency or legislation assigned a special meaning to the term.(2) When silent to an interpretation, cardinal rule allows for the meaning which fits most logically and comfortably into the body of both previously and subsequently enacted law to be utilised.",false
1794,CARRYING COST,"A measure, usually expressed as a percentage, of the costs incurred to hold inventory as a result of the cost of the item itself, insurance, obsolescence, theft, damage, use of storage facilities, and other causes.",Carrying Cost,"A measure, usually expressed as a percentage, of the costs incurred to hold inventory as a result of the cost of the item itself, insurance, obsolescence, theft, damage, use of storage facilities, and other causes.",true
1800,Cartel Price,Price normally possibly set by a market or price-leader or arranged through some form of price arrangements (cartels).,CARTEL PRICE,Price normally possibly set by a market or price-leader or arranged through some form of price arrangements (cartels).,true
1812,CASE,"Abbreviation for: Computer-Aided System Engineering or Computer Assisted Software Engineering, and Community Agency for Social Enquiries.",Case,Describes a unit of measure and the way multiple physical units are packaged. A case would typically be a sealed corrugated carton where a standardised quantity (greater than one) of a specific item is packed.,false
1823,Cash in Advance (CIA),"Payment for goods in which the price is paid in full before shipment is made. This method is usually used only for small purchases, initial purchases, or when the goods are built to order.",Cash In Advance (CIA),"A method of payment for goods in which the buyer pays the seller in advance of the shipment of goods. Usually employed when the goods, such as specialised machinery, are built to order.",false
1830,Cash with Order (CWO),Payment for goods in which the buyer,Cash With Order (CWO),A method of payment for goods in which cash is paid at the time of order and the transaction becomes binding on both buyer and seller.,false
1835,CAT,Abbreviation for: Category and Clear - Air Turbulence.,Cat,"1. To prepare an anchor, after raising it by lifting it with a tackle to the cat head, prior to securing (fishing) it alongside for sea. (An anchor raised to the cat head is said to be catted.)2. The cat o’ nine tails.3. A cat-rigged boat or catboat.",false
1846,CATEGORY,"A group of products which can
be substituted for one another
by consumer examples include
cereals, bakery, household
products, body care and so on.",Category,A grouping of similar goods or services that enables an organisation to analyse its spend.,false
1849,CATEGORY MANAGEMENT,"The management of product categories
as strategic business units. The practice
empowers a category manager with
full responsibility for the assortment
decisions, inventory levels, shelf-space
allocation, promotions, and buying.
With this authority and responsibility,
the category manager is able to
judge more accurately the consumer
buying patterns, product sales, and
market trends of that category.",Category Management,"The management of product categories as strategic business units. The practice empowers a category manager with full responsibility for the assortment decisions, inventory levels, shelf-space allocation, promotions, and buying. With this authority and responsibility, the category manager is able to judge more accurately the consumer buying patterns, product sales, and market trends of that category.",false
1851,CATEGORY PRIORITISATION MATRIX,"Matrix used to classify category
cost-savings projects based upon two
criteria, i.e.. cost -savings potential
and ease of implementation.",Category Prioritisation Matrix,Matrix used to classify category cost-savings projects based upon two criteria. I.e. cost-savings potential and ease of implementation.,false
1853,CATEGORY SOURCING PLAN,"Identifies the sourcing strategy
for a certain category.",Category Sourcing Plan,Identifies the sourcing strategy for a certain category.,false
1857,Category Workbench,"A category workbench is a one- point reference for all category related enquiries and information. It provides the visibility, decision support and strategic planning hub around which procurement processes like sourcing, purchasing, contract management and supplier management can work most efficiently.",CATEGORY WORKBENCH,"A category workbench is a onepoint reference for all category related enquiries and information. It provides the visibility, decision support and strategic planning hub around which procurement processes like sourcing, purchasing, contract management and supplier management can work most efficiently.",false
1868,Caveat Emptor,"A legal expression which means ""Let the buyer beware"". For a contract for the sale of goods it implies that the buyer must satisfy himself about",CAVEAT EMPTOR,"A legal expression which means ""Let the buyer beware"". For a contract for the sale of goods it implies that the buyer must satisfy himself about all aspects of them before he buys the goods, there being no provision under common law for implied warranty as to the suitability of the goods for any specific purpose.",false
