_id,_path,_createTime,_updateTime,term,definition
09tQuUKPgSK0D5IrA1h4,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/09tQuUKPgSK0D5IrA1h4,2025-08-31T21:21:05.225376Z,2025-08-31T21:21:05.225376Z,CFS,"Abbreviation for: Container Freight Station. A shipping dock where cargo is loaded (“stuffed”) into or unloaded (“stripped”) from containers. Generally, this involves less than container load shipments, although small shipments destined to the same consignee are often consolidated. Container reloading from/to rail or motor carrier equipment is a typical activity. These facilities can be located in container yards, or off dock."
0ASFEUCdlPqSr1ahDvhN,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0ASFEUCdlPqSr1ahDvhN,2025-08-31T21:34:06.645229Z,2025-08-31T21:34:06.645229Z,International Organisation for Standardisation (ISO),"Headquartered in Geneva, Switzerland, it is an international body composed of members representing standards organisations. The objective of the organisation is to promote the development of standards, testing, and certification in order to encourage the international trade of goods and services. As of 2002, ISO reports that its standards have resulted in certification of over 400,000 organisations around the world. ISO has concentrated on quality improvement and has issued the ISO 9000 series of quality system standards. ISO 14000 standards certify an organisation’s environment performance. For more information: www.iso.ch."
0B6RGj1ZxccG9X85IOEa,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0B6RGj1ZxccG9X85IOEa,2025-08-31T21:18:00.846866Z,2025-08-31T21:18:00.846866Z,B/L,Abbreviation for: Bill of Lading.
0BAo0RvKysZ6ZBmbIHyj,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0BAo0RvKysZ6ZBmbIHyj,2025-08-31T21:27:28.150180Z,2025-08-31T21:27:28.150180Z,Drop Trailers,Trailers that are unhooked from a tractor when the truck reaches its destinations.
0BxsYjye3J5WSCmWoCyc,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0BxsYjye3J5WSCmWoCyc,2025-08-31T23:38:12.963845Z,2025-08-31T23:38:12.963845Z,Two Dimensional Barcode (2D Bar Code),"Codes in which information is placed in two dimensions and read from side to side, and up and down, by special scanning equipment and which can be read, even if partially damaged."
0CD0MgJcvXLKTR2v5U52,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0CD0MgJcvXLKTR2v5U52,2025-08-31T21:15:28.990500Z,2025-08-31T21:15:28.990500Z,AFIS,Automated Flight Inspection System.
0CPdcVAdzitCxDs0vq32,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0CPdcVAdzitCxDs0vq32,2025-08-31T21:19:36.803133Z,2025-08-31T21:19:36.803133Z,Broadcast System,Sequenced plans or data communicated to multiple points at the same time in order to provide a common view and synchronise results
0CsgAPebZkllZTxMmRhk,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0CsgAPebZkllZTxMmRhk,2025-08-31T21:15:20.541127Z,2025-08-31T21:15:20.541127Z,ADO,Abbreviation for: Airline Dispatch Office.
0DH6C4DEQOF4qouPtbyA,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0DH6C4DEQOF4qouPtbyA,2025-08-31T21:14:59.657910Z,2025-08-31T21:14:59.657910Z,Acculturation,The process of becoming familiar with another culture. It helps in conducting transnational business.
0DXa24yLCE7dD9B49mJO,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0DXa24yLCE7dD9B49mJO,2025-08-31T21:23:04.795555Z,2025-08-31T21:23:04.795555Z,Cost Element,"In cost accounting, the lowest level component of a resource, activity, or cost object."
0DrI8l1MlLTk0rHNz2og,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0DrI8l1MlLTk0rHNz2og,2025-08-31T21:15:05.024920Z,2025-08-31T21:15:05.024920Z,Acquisition Categories (ACAT),U.S. DoD ACAT 1 programs are Milestone Decision Authority Programs or programs designated ACAT 1 by the Milestone Decision Authority.
0E7fVH4chyqGVixTtALu,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0E7fVH4chyqGVixTtALu,2025-08-31T21:25:22.011958Z,2025-08-31T21:25:22.011958Z,Destruction,Destruction of product may be chosen as a means of disposition after product is received at returns processing centre. Destruction may be standard or “green” and is typically done in conjunction with a bonded outsource partner.
0EGgvPe5H2Nw8v5WKxu2,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0EGgvPe5H2Nw8v5WKxu2,2025-08-31T21:42:43.477151Z,2025-08-31T21:42:43.477151Z,Quality,"The characteristics of an item or process that indicate its conformance to designated parameters, and its degree of perceived customer acceptance or satisfaction. Quality characteristics often include reliability, consistency, and the ability to continue performance in stress or volume situations, but are critical only in relation to the value placed on them by the user or customer."
0EiWk94Ek6uWGnItZkqX,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0EiWk94Ek6uWGnItZkqX,2025-08-31T23:51:21.874923Z,2025-08-31T23:51:21.874923Z,WRITE-DOWN,The reduction of the recorded value of materiel as a result of conversion or change of conditions while in stock (*reduction).
0Fn1VElousIh7toEwkzx,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0Fn1VElousIh7toEwkzx,2025-08-31T21:22:18.615599Z,2025-08-31T21:22:18.615599Z,Confirming Bank,The bank that adds its confirmation to another bank’s (the issuing bank’s) letter of credit and promises to pay the beneficiary upon presentation of documents specified in the letter of credit.
0GgHl5X1ydbJTxCDKEK2,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0GgHl5X1ydbJTxCDKEK2,2025-08-31T23:40:04.011749Z,2025-08-31T23:40:04.011749Z,Work Group,"Personnel that collaborate on a specific project or function, make use of a common database, schedule and method of communication, and update tasks and activities specifically related to that project or function."
0H3z7EjKY00ESWEE5eY7,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0H3z7EjKY00ESWEE5eY7,2025-08-31T22:41:55.613945Z,2025-08-31T22:41:55.613945Z,Short Fat Processes,"Processes designed with relatively few sequential stages, each of which performs a relatively large part of the total task; the opposite of long this processes."
0H4Y0hxnCn17Zm7jDMek,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0H4Y0hxnCn17Zm7jDMek,2025-08-31T21:35:40.612549Z,2025-08-31T21:35:40.612549Z,Legal System,The applicable law in a specific country or region.
0H9nLtCexymtEaEqZbkm,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0H9nLtCexymtEaEqZbkm,2025-08-31T21:23:12.075903Z,2025-08-31T21:23:12.075903Z,Costs,"The cost attribute describes the cost of operating the process. It includes labor costs, material costs, and transportation costs. Cost is an internally-focused attribute."
0Hdg1Z8vF4bua8CwVWbU,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0Hdg1Z8vF4bua8CwVWbU,2025-08-31T21:40:06.581521Z,2025-08-31T21:40:06.581521Z,OWR,"Abbreviation for: Overall Work Rate. A measure of labour productivity, the OWR is a sign of operational efficiency. It usually measures how many total hours are used in a given warehouse operation to handle a particular volume of throughput. Also termed Overall Warehouse Rate. The number of hours often includes team managers and stock control administration, in addition to those job roles directly involved in handling stock. Absence and sickness both negatively affect OWR. A typical target OWR value for a composite warehouse might be 80, although actuals will of course vary from, for example, 55 to 95. Different target rates will be set for each temperature chamber. OWR is a term associated with Lean Manufacturing principles and Total Productive Maintenance (TPM) - also called Total Process Management and Total Productive Manufacturing."
0IXDQHKW053B0fVztptG,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0IXDQHKW053B0fVztptG,2025-08-31T22:40:41.914028Z,2025-08-31T22:40:41.914028Z,RECEIPT,"A document of confirmation that goods have been delivered or services performed. The supplier may present a proof of delivery and the buyer may generate a goods receipt note. The goods receipt note is usually part of a three-way match between the purchase order, the invoice and the goods receipt note, and is needed to confirm that the invoice might be paid. When a two-way match occurs, the invoice is matched either to the purchase order or simply to the goods receipt note."
0IoTGL8FMH2MOqPoaUZo,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0IoTGL8FMH2MOqPoaUZo,2025-08-31T21:30:29.488819Z,2025-08-31T21:30:29.488819Z,Four P’s,"Set of marketing tools to direct the business offering to the customer. The four P’s are product, price, place and promotion."
0JNdjshyjRsgHbD2uCj3,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0JNdjshyjRsgHbD2uCj3,2025-08-31T21:22:05.824946Z,2025-08-31T21:22:05.824946Z,Complement,"The number of persons in a ship’s crew, including officers."
0Jh0QMR3Fn80Dj9YjX5u,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0Jh0QMR3Fn80Dj9YjX5u,2025-08-31T23:40:12.041889Z,2025-08-31T23:40:12.041889Z,WEIGHTED GUIDELINES,"A government technique for developing fee and profit negotiation objectives, within percentage ranges established by regulation."
0KBClc6w7lfXJzJUC1hD,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0KBClc6w7lfXJzJUC1hD,2025-08-31T21:20:42.297466Z,2025-08-31T21:20:42.297466Z,Cat,"1. To prepare an anchor, after raising it by lifting it with a tackle to the cat head, prior to securing (fishing) it alongside for sea. (An anchor raised to the cat head is said to be catted.)2. The cat o’ nine tails.3. A cat-rigged boat or catboat."
0KIZzksAJqVf2Bceh0Gk,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0KIZzksAJqVf2Bceh0Gk,2025-08-31T21:30:07.226674Z,2025-08-31T21:30:07.226674Z,Flush Deck,An upper deck of a vessel that extends unbroken from stem to stern.
0KObUG9JfSfyyaa0cVLd,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0KObUG9JfSfyyaa0cVLd,2025-08-31T21:16:38.387647Z,2025-08-31T21:16:38.387647Z,Anchor Ball,Round black shape hoisted in the forepart of a vessel to show that it is anchored.
0LA9uwpqIHo2vQEwn978,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0LA9uwpqIHo2vQEwn978,2025-08-31T23:37:56.960072Z,2025-08-31T23:37:56.960072Z,Truckload (TL),"A shipment in which the freight completely fills the trailer or container. Often refers to the quantity of freight required to fill a trailer, usually more than 10,000 pounds."
0LIJBzXdyA6oifIQFavf,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0LIJBzXdyA6oifIQFavf,2025-08-31T23:01:25.426667Z,2025-08-31T23:01:25.426667Z,Trading Partner Agreement,The written contract that spells out agreed upon terms between EDI trading partners.
0LSeqlSMyvhE63hcC9ol,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0LSeqlSMyvhE63hcC9ol,2025-08-31T21:27:34.681844Z,2025-08-31T21:27:34.681844Z,DSV,Abbreviation for: Diving Support Vessel.
0LgOY3Ez5FbCbj6W9sky,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0LgOY3Ez5FbCbj6W9sky,2025-08-31T22:40:35.702213Z,2025-08-31T22:40:35.702213Z,RTP,Abbreviation for: Regional Transportation Plan.
0MXwoMDCgNlOxH9d7T15,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0MXwoMDCgNlOxH9d7T15,2025-08-31T21:21:30.375637Z,2025-08-31T21:21:30.375637Z,Classification Rating,The designation provided in a classification by which a class rate is determined.
0MeE16de3DBOzCpyQEQm,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0MeE16de3DBOzCpyQEQm,2025-08-31T23:40:15.478984Z,2025-08-31T23:40:15.478984Z,WORTH,"The measure of value received for the resources expended. It is directly proportional to the cost to a foe (damage, neutralization, deception, and/or counteraction) and indirectly proportional to the system cost."
0MkH4cvsnwxQB1V2vWx9,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0MkH4cvsnwxQB1V2vWx9,2025-08-31T22:41:53.894226Z,2025-08-31T22:41:53.894226Z,Shop Calendar,"The definition of operating or working days available for material and capacity planning, production order release and execution."
0Mor4DaUV7A9PE241Zc2,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0Mor4DaUV7A9PE241Zc2,2025-08-31T21:28:48.019096Z,2025-08-31T21:28:48.019096Z,Estimated Time of Departure (ETD),The date and time a vehicle or shipment is expected to depart on a journey.
0Nup5g0WoTMOPHjlA4qf,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0Nup5g0WoTMOPHjlA4qf,2025-08-31T21:42:10.908141Z,2025-08-31T21:42:10.908141Z,Projected Life,"The estimated useful period of a resource or system based on time, cycles, units processed, or other factors."
0O0xbWMH4X3aIPNDokwk,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0O0xbWMH4X3aIPNDokwk,2025-08-31T22:40:21.055627Z,2025-08-31T22:40:21.055627Z,Ro/Ro,"A shortening of the term, “Roll On/ Roll Off.” A method of ocean cargo service using a vessel with ramps which allows wheeled vehicles to be loaded and discharged without cranes. Also refers to any specialised vessel designed to carry Ro/Ro cargo"
0O7RjlYKPKstRrmQWSXM,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0O7RjlYKPKstRrmQWSXM,2025-08-31T21:19:14.121300Z,2025-08-31T21:19:14.121300Z,Bonded Jacky,A type of tobacco or sweet cake.
0QC190wiO9ZwAfqHLziw,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0QC190wiO9ZwAfqHLziw,2025-08-31T21:36:54.255973Z,2025-08-31T21:36:54.255973Z,Manual Reschedule,"To change the expected date of an open production, purchase, or interplant order by a planner or other person, based on a suggestion from MRP or other information. It requires a review process that evaluates the effect of moving the initial date, and increases reaction time while allowing for more control than a process in which MRP or other system suggestions for reschedules are automatically performed."
0QD0jd7NpENfjHZAzYoi,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0QD0jd7NpENfjHZAzYoi,2025-08-31T21:25:12.864415Z,2025-08-31T21:25:12.864415Z,Design Feasibility,"The ability of an operation to produce a process, product, or service."
0QETmVWHzWI79ZninSM4,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0QETmVWHzWI79ZninSM4,2025-08-31T21:31:11.507987Z,2025-08-31T21:31:11.507987Z,GADO,Abbreviation for: General Aviation District Office.
0QUz5wA3Nvk4PSZvsDck,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0QUz5wA3Nvk4PSZvsDck,2025-08-31T21:21:02.679357Z,2025-08-31T21:21:02.679357Z,CFA,Abbreviation for: Certified Financial Analyst.
0QnnSDmlHWLcnm90tbFO,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0QnnSDmlHWLcnm90tbFO,2025-08-31T21:36:29.674379Z,2025-08-31T21:36:29.674379Z,LST,Abbreviation for: Local Standard Time.
0QxjGi6lytDeHxeuN0b2,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0QxjGi6lytDeHxeuN0b2,2025-08-31T21:40:00.892915Z,2025-08-31T21:40:00.892915Z,Over Specifying,Imposing unnecessary technical requirements on suppliers.
0RBiybpNfrjmlXLZ6NhA,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0RBiybpNfrjmlXLZ6NhA,2025-08-31T21:40:20.489429Z,2025-08-31T21:40:20.489429Z,Panamax Tanker,"A liquid cargo vessel of 50,000 to 70,000 DWT."
0RNK2VRAM8I75BP3E7fF,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0RNK2VRAM8I75BP3E7fF,2025-08-31T21:29:55.978018Z,2025-08-31T21:29:55.978018Z,Fixed Lot Size,"A lot size that always uses the same quantity (or a multiple) for a reorder; the timing of the order varies while the size of the order is constant. Fixed lots are sometimes used when a process may require stamping out 100 pieces at a time, or when a vendor will only ship a carton of 500 items. Using fixed lots may mean placing fewer orders, at the trade off of carrying more inventory for a period of time than may be required."
0SFdUK0P7UQhZbmbH6M3,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0SFdUK0P7UQhZbmbH6M3,2025-08-31T21:20:26.933976Z,2025-08-31T21:20:26.933976Z,Captain of the Port,"1. In the United Kingdom, a Royal Navy officer, usually a captain, responsible for the day-to-day operation of a naval dockyard.2. In the United States, a United States Coast Guard officer, usually a captain, responsible for enforcement of safety, security, and marine environmental protection regulations in a commercial port."
0T4IpCYa7vk2FPiJYvvD,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0T4IpCYa7vk2FPiJYvvD,2025-08-31T21:31:17.763289Z,2025-08-31T21:31:17.763289Z,Garbling,The (illegal) practice of mixing cargo with garbage.
0Tf0rq8qQGEB0R20jEad,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0Tf0rq8qQGEB0R20jEad,2025-08-31T21:41:08.978012Z,2025-08-31T21:41:08.978012Z,Planning Time Index,A travel time reliability performance measure defined by the ratio of an actual 95th percentile travel time to the free-flow travel time; conceptually represents the once-a-month extra travel time travelers must spend compared to uncongested travel times (a value of 3.00 indicates a traveler should allow 60 minutes to make an important trip that takes 20 minutes in uncongested traffic).
0UoCBRvcIAyVAfcYnPPf,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0UoCBRvcIAyVAfcYnPPf,2025-08-31T21:37:59.393655Z,2025-08-31T21:37:59.393655Z,MRA,Abbreviation for: Minimum Reception Altitude and Mutual Recognition Agreement.
0Uv40Skkugx6G0VoeGfn,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0Uv40Skkugx6G0VoeGfn,2025-08-31T21:19:43.621906Z,2025-08-31T21:19:43.621906Z,Buffer,"A quantity of materials awaiting further processing. It can refer to raw materials, semi-finished stores or hold points, or to a work backlog that is purposely maintained behind a work centre"
0VAQU572HBfUVDkkZMbt,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0VAQU572HBfUVDkkZMbt,2025-08-31T23:00:35.419471Z,2025-08-31T23:00:35.419471Z,TCC,Abbreviation for: Transportation Computer Centre.
0VIXdOjcf1h6QQEv8kn6,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0VIXdOjcf1h6QQEv8kn6,2025-08-31T22:59:17.419345Z,2025-08-31T22:59:17.419345Z,Steerageway,"The minimum speed at which a vessel will answer the helm, below which she cannot be steered. Speed sufficient for the rudder to “bite.”"
0VrBixwgXK2lcHLKgXdG,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0VrBixwgXK2lcHLKgXdG,2025-08-31T21:42:54.914470Z,2025-08-31T21:42:54.914470Z,QUALIFYING TRANSACTION SOUTH AFRICA,"Sales of a business, valuable business assets or share that results in the creation of sustainable business opportunities and transfer of specialised skills or productive for black people."
0WVzulCzUx3t79UgdcCG,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0WVzulCzUx3t79UgdcCG,2025-08-31T21:39:17.408389Z,2025-08-31T21:39:17.408389Z,OEM,Abbreviation for: Original Equipment Manufacturer.
0X0qsm1GN4a5xdu3bVy5,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0X0qsm1GN4a5xdu3bVy5,2025-08-31T21:29:59.814959Z,2025-08-31T21:29:59.814959Z,Flat Car,A rail car without a roof and walls.
0XZvNZZDMCssXNmCuUmw,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0XZvNZZDMCssXNmCuUmw,2025-08-31T21:18:56.000218Z,2025-08-31T21:18:56.000218Z,BIST,Abbreviation for: Built In Self-Test.
0XmfvdOSggFcQ2oldU3f,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0XmfvdOSggFcQ2oldU3f,2025-08-31T21:33:25.037757Z,2025-08-31T21:33:25.037757Z,Inboard,"1. Situated within a vessel. 2. Situated within a vessel and positioned close (or closer than another item, when contrasted with that item) to her centreline. 3. Situated outside a vessel but nearer to her hull, e.g., the larger boat was tied up alongside the ship inboard of the smaller boat. 4. Nearer the pier or shore, e.g., the tanker and cargo ship were tied up at the pier alongside one another with the tanker inboard of the cargo ship."
0YpyR4pwFe8auEMz9VCP,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0YpyR4pwFe8auEMz9VCP,2025-08-31T21:19:30.710557Z,2025-08-31T21:19:30.710557Z,Break-Even Analysis,"An examination of changes in fixed and variable costs based on varying revenue and production levels that identify a break-even point, where revenues are equal to costs. It highlights the profit results from alternative levels of operation. Syn.: cost-profit-volume analysis."
0ZIb5q0J54cIL5iNgQbJ,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0ZIb5q0J54cIL5iNgQbJ,2025-08-31T21:25:07.670892Z,2025-08-31T21:25:07.670892Z,Depot Ship,A ship which acts as a mobile or fixed base for other ships and submarines or supports a naval base.
0ZK6e1ikEa9tesz5joUs,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0ZK6e1ikEa9tesz5joUs,2025-08-31T21:33:29.041410Z,2025-08-31T21:33:29.041410Z,Incoterms,"A set of international rules, issued by the ICC (International Chamber of Commerce) for the interpretation of the chief terms of delivery used in foreign trade contracts. The incoterms define the rights and obligations of the seller and the buyer, for instance transfer of the risk (at which point and time the risk passes from the seller to the buyer)."
0ZOxgA2XiXpoCcGzhGEI,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0ZOxgA2XiXpoCcGzhGEI,2025-08-31T21:24:03.633809Z,2025-08-31T21:24:03.633809Z,CARDINAL RULE,"(1) To give plain meaning to contract terms unless the agency or legislation assigned a special meaning to the term.(2) When silent to an interpretation, cardinal rule allows for the meaning which fits most logically and comfortably into the body of both previously and subsequently enacted law to be utilised."
0ZTKsclZeIkghbCnmfch,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0ZTKsclZeIkghbCnmfch,2025-08-31T23:00:02.893501Z,2025-08-31T23:00:02.893501Z,Syntax,The grammar or rules which define the structure of the EDI standard.
0ZYFsl0TAF7ctQKFy5BL,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0ZYFsl0TAF7ctQKFy5BL,2025-08-31T21:30:05.600821Z,2025-08-31T21:30:05.600821Z,Flow Rate,Used in repetitive manufacturing environments to represent the amount of production per shift or hour.
0aAjVKFYBoxHcchF7Z5W,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0aAjVKFYBoxHcchF7Z5W,2025-08-31T21:24:28.951434Z,2025-08-31T21:24:28.951434Z,Data Interchange Standards Association (DISA),"The secretariat, which provides clerical and administrative support to the ASC X12 Committee."
