source_row_number,term,definition
13582,A unit of speed,"1 nautical mile (1.8520 km; 1.1508 mi) per hour. Originally speed was measured by paying out a line from the stern of a moving boat; the line had a knot every 47 feet 3 inches (14.40 m), and the number of knots passed out in 30 seconds gave the speed through the water in nautical miles per hour. Sometimes ""knots"" is mistakenly stated as ""knots per hour,"" but the latter is a measure of acceleration (i.e., ""nautical miles per hour per hour"") rather than of speed."
13601,A vessel that is moving under control,"that is, neither at anchor, made fast to the shore, aground nor adrift. Way refers to speed sufficient to steer with the rudder. ""Under weigh"" is an erroneous synonym."
13597,"A wooden, in later years also iron or steel pole used to support various pieces of rigging and sails. The big five-masted full-rigged tall ship Preussen (German spelling","Preußen) had crossed 30 steel yards, but only one wooden spar—the little gaff of its spanker sail."
13607,A.C. Nielsen,"A Chicago based supplier of industry sales data for consumer products (e.g., supermarkets). These data are obtained from sources such as cash register scanners. Another supplier of such data is IRI."
11601,A/E (Architect or Engineer) Professional Services,"Services that require performance by a registered architect or engineer.  Professional services of an architectural or engineering nature that are associated with research, planning, development, design construction, alteration or repair of real property."
11598,A+B Bidding,A cost-plus-time bidding procedure that selects the low bidder based on a monetary combination of the contract bid items (A) and the time (B) needed to complete the project or a critical portion of the project. It is used to motivate the contractor to minimize the overall time on high priority and high usage projects. This encourages contractors to finish early by (1) offering bonuses for early completion and (2) assessing fines for late completion. (www.ic.usu.edu/ic_over/a+b/a+b.php?heading=1)
13490,AAA American Automobile Association,"A nonprofit federation  motor clubs providing travel, insurance, financial and auto-related services; publishes various reports on issues such as fuel prices, motoring and travel conditions, and automobile expenses."
13491,AADT Annual Average Daily Traffic,Daily traffic that is averaged over a year (see ADT).
13492,AASHTO American Association of State Highway and Transportation Officials,National group of transportation agencies whose focus is to study issues and develop policies and standards related to all aspects of transportation.
11602,ABA,See American Bar Association.
11603,ABA Model Procurement Code for State and Local Government (U.S. Law),"Developed by the American Bar Association (ABA) and adopted in 1979, it is a collection of statutory principles and policies that provides guidance to public policy managers who wish to responsibly manage public procurement. State and larger local governments have individually codified it into procurement law and policy to effectively guide their procurement organizations. The code was updated in 2000 and contained enhancements in the following areas: Electronic Commerce, Cooperative Purchasing, Flexibility in Purchasing Methods and Processes for Delivery of Infrastructure Facilities and Services. Also called Model Procurement Code."
11604,ABA Model Procurement Ordinance for Local Governments (U.S. Law),"A code similar to the ABA Model Procurement Code, but intended for use by small local jurisdictions."
13454,"Abbreviation for the “Uniform Customs and Practice for Documentary Credits,” published by the International Chamber of Commerce. This is the most frequently used standard for making payments in international trade; e.g., paying on a Letter of Credit. It is most frequently referred to by its shorthand title","UCP No. 500. This revised publication reflects recent changes in the transportation and banking industries, such as electronic transfer of funds."
13606,ABC (Activity Based Costing),"An accounting method that attempts to closely associate costs, particularly indirect costs, with the activities that generate the costs. This is sometimes also called transactionbased costing. The most crucial aspect of ABC is identifying the “cost drivers” (e.g., number of stops on a delivery route, number of miles on a delivery route, number of pallets delivered, etc.) and then deducing the cost rate to apply to each activity."
11605,ABC Inventory Classification,"A means in which to categorize inventory that is applicable to any size business, regardless of industry. (e.g. government, manufacturing, services etc.) ABC classification allows for a review of the inventory based on the business’ approach to the management or review of its inventory. For some agencies, the ABC of categories is based on the dollar value of the items. “A” in this application would be the top 10% of the inventory items and would account for approximately 70% of the annual inventory dollar volume. “B” would be the next 20% and would account for approximately 20% of the annual dollars in the inventory and “C” the remaining 70% of the annual inventory items with 10% of the overall monetary value of the annual inventory. The use of the terms “A”, “B”, and “C” may also be used to classify the need for accurate inventory records (tolerance) for various items, (very accurate, moderate accuracy), how often cycle counts are needed (weekly, monthly, or quarterly), or even to note who may be responsible for the inventory itself (i.e.: “A” is controlled by fleet, “B” is by purchasing and “C” by parks and recreation). Further, “A” may denote the items in the inventory that have the longest lead times (i.e.: JIT extended lead times), how the items are purchased (term contract, spot buy) or levels of safety stock required (highest turn-over, slow movers). Location of specific items in the inventory may also be denoted by the ABC Classification system. (Janson, 1987)"
11606,ABL (Approved Brands List),See Approved Products List (APL); Qualified Products List (QPL); Acceptable Products List (APL).
11607,Accept 1,"to receive as approved, adequate, or satisfactory 2: to receive willingly with the intent of retaining."
11608,Acceptable products list,"(US)(CN) list of products which conform to the applicable compendia, specifications, standards or other descriptions, and which have proven acceptance. (*listes des produits acceptables)"
11609,Acceptable quality level (AQL) 1,"the specified minimum performance that must be achieved by the product to assure the purchasing authority that goods or services will perform as required 2: the maximum allowable number of defects, or defective units, usually stated per hundred units. See sampling."
11610,Acceptance of Offer,The agreement of the vendor to deliver the goods ordered for the price offered.
11611,Acceptance Sampling (Acceptance Testing),A quality control technique used to evaluate the overall condition of a given lot by physically inspecting only a portion or sample of the lot. Also see Acceptable Quality Level (AQL).
11612,Access to Information Office,Canadian A facility within Canadian governments for information regarding contract awards.
11613,Access to Information Program (ATIP),"Canadian Mandated by the Access to Information Act and the Privacy Act, this program gives any person in Canada the right to access information held in government records, subject to certain exceptions and limitations. (www.summitconnects.com/Tool_Kit/glossary)"
11614,Accessorial Transportation Charges,"The costs that a carrier may charge in addition to the actual freight transportation charge such as: Inside delivery, interim storage, and redelivery charges. (ISM, 2000)"
11615,Account,"A list or enumeration of monetary transactions between parties to a contract showing purchases, payments, and credits for goods or services."
11616,Accountable,The concept that a person is obliged to give a reckoning or explanation for one’s actions; responsible. Also see Accountability.
11617,Accountable Advance,Canadian The advance of funds provided for a specific purpose and chargeable to a specific appropriation.
11618,Accountable Item,"Canadian Any item of equipment separately accounted for upon acquisition, removal, transfer, sale, demolition, abandonment, or write-off."
11619,Accounting Cycle,"The four-step procedure of an accounting system: examining source documents, recording transactions in an accounting journal, posting recorded transactions, and preparing financial statements. (Business, 2002)"
11620,Accounting Equation,"Assets equal liabilities plus owners’ equity. (Schiller, 2000)"
11621,Accounts Receivable Turnover,"A financial ratio calculated by dividing net sales by accounts receivable. (Schiller, 2000)"
11622,Accounts Receivables,Amounts that are due and payable to a firm as a result of sales to its customers. An accounting function that is responsible for the collection and deposit of payments received on open customer accounts for goods and services sold.
11623,Accredited Purchasing Practitioner (A.P.P.),A certification given to qualified individuals by the Institute of Supply Management (ISM). (www.ism.ws)
11624,Accrual Basis Accounting,"An accounting system that encumbers or sets aside funds for a specified future expenditure. Using this system, transactions are recognized at the time they are incurred, as opposed to when cash is received or spent. This method of accounting is the most commonly used, especially among governmental entities. All agencies in the United States and Canada require an encumbrance and a receipt before payment can be authorized by demanding procedural separation between the ordering of goods and services; encumbrance of funds; and authorization of payment. Also see Cash Basis Accounting."
11599,ACES,Access Certificates for Electronic Services
11625,Acid Test Ratio,"A financial ratio calculated by subtracting the value of inventory from the current asset amount and dividing by current liabilities. (Schiller, 2000)"
11600,ACL,"Access Control List
A & E: See Architectural and Engineering."
11626,ACORD (Association of Cooperative Operations Research and Development),"A non-profit association whose mission is to facilitate the development and use of standards for the insurance and reinsurance industry. ACORD is the focal point for providing standard insurance forms that meet all regulatory requirements for the U.S. property and casualty/surety market. (ACORD Corporation, 1988)"
11628,Acquisition Fee,Canadian The amount billed to cover the cost of initiating a contract.
11629,Acquisition Price,The amount paid to a vendor or contractor for the goods or services obtained.
13608,Acre,unit of land measure= 4840 square yards=0.4049 hectares. 640 acres=1 square mile. See SI units.
11630,Actual Damages,"Real damages to compensate for loss or injuries that have actually occured. This is in contrast to “nominal” damages (a small amount paid where there is no real loss) or “punitive” damages (intended to punish the party who must pay damages). When damages, which have been suffered by someone as a result of another’s wrongdoing, can be precisely measured, they are called actual damages. Examples of actual damages are: loss of income because of an injury; medical expenses; costs of repairing damaged property; and specific business losses occurring because of a breach of a contract."
11597,AD,Administrative Directive
11631,Ad Hoc Committee,"A committee created for a specific purpose that is in place for a short period of time. They are now being replaced by cross-functional teams in a less formalized setting. (Business, 2002)"
11638,Ad Valorem,"According to value. Customs duty (rate) that is generally charged on the value of goods irrespective of weight or other material considerations. Generally expressed as a percentage of the value of the goods as indicated on an invoice or bill of materials. (ISM, 2000)"
11632,Addendum/Addenda,"A written change, addition, alteration, correction or revision to a bid, proposal or contract document. Addendum/Addenda may be issued following a pre-bid/pre-proposal conference or as a result of a specification or work scope change to the solicitation. (Harney, 1998)"
11633,Adjectival Ratings,"A notational scoring system in which adjectives are used to describe the quality of an offeror’s proposal. Proposals may be rated using such terms as Outstanding, Highly Acceptable, Excellent, Good, Fair, and Poor. (Nash, Schooner, O’Brien, 1998)"
11634,Adjustment,Canadian The amount of variation permitted by an adjustment clause in the contract generally permitting a change upward or downward in the price or obligation in case certain events transpire.
11635,Administrative Change,"A unilateral change to a contract in writing, that does not affect the substantive rights of the parties, such as a change in the address to which an invoice is mailed."
11636,Administrative Law,"Rules, regulations, and executive orders promulgated by governmental administrative or regulatory agencies. Generally enacted to make statutes and ordinances more specific. Has the force and effect of law."
11637,Administrative Remedies (exhaustion of),"The completion of the process of direct appeal to a governmental body as defined by the governmental bodies’ administrative regulations. When all procedures for review of the appeal by public officials have been followed and the relief sought by the appealing party still has not been obtained to that party’s satisfaction, administrative remedies are considered to be exhausted. The appealing party may seek legal action through the courts. (Garner, 2004)"
13493,ADT Average Daily Traffic,"The number of vehicles passing a fixed point in a day, averaged
over a number of days. The number of count days included in the average varies with the intended use of the data."
11639,Advance Payments,Agreed upon payments between buyer and seller made prior to the actual receipt and delivery of the contracted goods and services. Payments may be for a stated amount or for a percentage of the purchase price. Sometimes referred to as cash in advance. Also see Partial Payment and Progress Payment.
11640,Advanced Contract Award Notice (ACAN),"Canadian A notice of intent to solicit a bid and negotiate with a single firm. Other suppliers are not invited to bid on these requirements but can forward letters of intent indicating their interest before the closing date. Notice of bidding requests will then be solicited from letters of interest that have been received. (Summit Magazine, On-Line)"
11641,Advertise,To make a public announcement or legal notice of a forthcoming solicitation with the aim of increasing the response and enlarging the field of competition; often required by law or policy.
11642,AFC,See Average Fixed Cost.
11643,AG,Canadian See Auditor General of Canada.
11644,Aggrandizement,To extend the scope of one’s influence beyond what is normal or ethically acceptable. Personal gain obtained through an agreement established and intended to be on behalf of taxpayers that is unacceptable and taints the behavior of public professionals acting as stewards of the public trust.
11645,Aggregate,"To gather or collect quantities of a specific item (product or service) in order to achieve savings by leveraging economies of scale. An enabler of the economic theory that the larger the quantity the smaller the unit price. (Schiller, 2000)"
11646,Aggregate Award,"A contract award made to the lowest responsive, responsible bidder based on the total price for all items. While this allows the public entity to enter into a contract with a single supplier, this method does not provide the best available pricing and may be overly restrictive, unless multiple bidders are able to supply all of the items contained in the solicitation document."
11647,Aggrieved Bidder/Proposer,The bidder/proposer who is adversely affected because they would be eligible to be awarded the public contract in the event that the protest or dispute was successful.
13339,AGREEMENT - A duly executed and legally binding contract; the act of agreeing. The word agreement can have both informal and formal meanings. Informally the word may be used to describe a contractual agreement between parties,"‘the agreement has three months to run’. The formal meaning of the word is used in a legal context to describe one of the prerequisites for considering a contract valid. The parties must have ‘a meeting of the minds’, sometimes called ‘consensus ad idem’, meaning that for a contract to exist the parties must share a common understanding, and there must be no mistake as to what is being agreed. See also Contract."
11648,Agreement Type,"Canadian Refers to the agreement under which the opportunity is governed, such as the Agreement on Internal Trade (AIT), North American Free Trade Agreement (NAFTA), etc. (Summit Magazine, On-Line)"
13609,AGV (Automatic Guided Vehicle),a driverless vehicle used in warehouses and factories to move material.
11649,AIA,See American Institute of Architects.
11650,Air Freight Forwarder,"As described in FAR 47.401: An indirect air carrier that is responsible for the transportation of property, from the point of receipt to the point of destination, and utilizes for the whole or any part of such transportation the services of a direct air carrier or its agent, or of another air freight forwarder."
11651,Air Waybill,"Documentary proof of the contract of carriage between the shipper and the carrier. It serves as a receipt of goods for shipment and is required for Customs clearance. This proof was issued by the airlines following the International Air Transportation Association (IATA) standard form. (Business, 2002)"
11652,Alien Corporation,"A corporation chartered by a foreign government and conducting business in the United States. (Business, 2002)"
11655,All-Or-Nothing Bid (All or None),"A bid submitted for a number of different items, services, etc. in which the bidder states it will not accept a partial award, but will accept only an award for all the items, services, etc., included in the Invitation for Bids. Because the bidder has qualified their bid, their bid response may be deemed as non-responsive."
11653,Allocable Costs,"Costs that are specifically related to the contract. (Harney, 1992) A cost that can be assigned or charged as an item of cost to one or more cost objectives, in accordance with the terms of the contract and applicable laws and regulations."
11654,Allocation of Cost,"To assign or charge an item of cost to one or more cost objectives, either as a direct cost or as a share of an indirect cost pool, based on the relative benefits received or other equitable relationship."
11656,Allot,To divide an appropriation into amounts which may be encumbered or expended during an allotment period.
11657,Allowable Costs,"Costs that are recognized by law, regulation, or the contract. (Harney, 1992) A cost that is reasonable."
11658,Alpha,"A word referring to the first of two pre-release phases of a commercial hardware or software product. The early version of the product is tested at the developer’s site and is then improved accordingly. The release prior to the beta test or beta version. (Jansen, 2002)"
11659,Alphanumeric,"A set of characters that contains both letters (alpha) and numbers (numeric). These characters may include punctuation and symbols found on a standard keyboard. Generally assigned to identify a specific item such as a model number. (Jansen, 2002)"
11660,Alternate Service Delivery (ASD),"Canadian An agency’s process of looking at new ways of delivering some of its services, frequently by contracting to suppliers for services that were previously provided in-house. (Summit Magazine, On-Line)"
11661,Alternative (Alternate) Bid/Proposal,"A response to a bid or proposal that does not meet the exact requirements of the specification or scope of work but offers an alternative for consideration. A bid/proposal submitted with an intentional substantive variation to a basic provision, specification, term or condition of the solicitation. This alternative, in the opinion of the bidder/proposer, achieves the same end result. Alternative bids and proposals may render the bid/proposal as non-responsive. Also see Alternate Bid (Response)."
11662,Alternative Dispute Resolution (ADR),"A process or procedure used voluntarily between parties to resolve issues in controversy without the need to resort to litigation. ADR may include but are not limited to mediation, fact-finding and arbitration. Also see Litigation."
11663,Alternative Project Delivery Method (APDM ),A collective term to refer to the use of non-traditional contracting methods.  The contractor may participate in or advise on the design or may be entirely responsible for the design; the contractor's selection is based on qualifications or best value. Traditional contracting methods may include Design-bid-build or design-build where alternative methods may include Construction Management or an Alliance/Relationship Contracting.
11664,Ambiguity,Contract language that is capable of being understood to have more than one meaning. Such language is generally subject to more than one interpretation.
13381,Amended B/L,B/L requiring updates that do not change financial status; this is slightly different from corrected B/L.
11665,Amendment Previous Value,Canadian Value of a document as last amended.
11666,Amendment Status,"Canadian Identifies the number and description of amendments issued to a bid solicitation or contract document, and gives a description of the previous wording."
11667,American Arbitration Association (AAA),A not-for-profit organization that provides resources for Alternative Dispute Resolution (ADR). Arbitration and mediation are being widely used to settle contractual disputes instead of litigation.
11668,American Bar Association (ABA),"With more than 400,000 members, the ABA provides law school accreditation, continuing legal education, legal information, programs to assist lawyers and judges in their work and initiatives to improve the legal system for the public. (www.abanet.org)"
11669,American Institute of Architects (AIA),"A national professional society founded in 1857 whose members are licensed architects, graduate architects or retired architects. AIA promotes design excellence and fosters professionalism and accountability through professional development programs and achievement awards. (www.aia.org)"
11670,American Production and Inventory Control Society (APICS),A professional society whose mission is to improve and advance the field of production and inventory control. Also known as The Association for Operations Management. (www.apics.org)
11671,Americans with Disabilities Act (ADA),"Federal legislation passed in 1990 that requires organizations with at least 25 employees to make reasonable accommodations for qualified workers and applicants with disabilities and to avoid discriminating against them. Compliance includes removing physical workplace barriers. (Business, 2002)"
13353,An auction is the process of selling or buying goods or services by inviting competing bids from multiple service providers or vendors. The competing participants may or may not know the identities or actions of other competitors. Auctions can be of two types,"forward auctions and reverse auctions. While, in forward auctions, the bids increase during the auction, it decreases in the case of reverse auctions. Online reverse auctions are commonly used by procurement professionals seeking the best value deal."
13584,"An iron ball attached to a long handle, used for driving caulking into seams and (occasionally) in a fight. Hence",'at loggerheads'.
11672,Analytical Skills,"An individual’s ability to identify relevant issues, recognize their importance, understand the relationship between them, and perceive the underlying causes of a situation. These skills are crucial in making most procurement decisions. (Miller, 2006)"
11673,Ancillary Services,"Commercial type support services required by a government such as custodial, landscape maintenance, and refuse collection, etc."
13494,ANPRM Advanced Notice of Proposed Rulemaking,A tool used by the federal government to solicit public input into the development of a proposed regulation; notice usually published in the Federal Register.
13610,ANSI (American National Standards Institute),see http://www.ansi.org or http://www.nssn.org. This is an agency for publishing U.S. and international standards.
11675,Anti-trust Laws,"State and federal laws enacted to ensure free, fair and open competition by prohibiting monopolies or conspiracies in restraint of trade in interstate and foreign commerce. The Sherman and Clayton Acts are examples of Federal Antitrust Laws. (Miller, 2006)"
11676,Anti-trust Legislation,Laws that attempt to prevent or eliminate monopolies or oligopolies and to prevent noncompetitive practices.
11674,Anticipatory Repudiation,"Statements or acts of a contractor before an actual Breach of Contract that indicate that the contractor does not intend or is unable to complete, or continue to perform under the contract. (Black’s Law Dictionary, 93)"
11677,Antitrust Violations,"Violations of federal or state laws that regulate trusts, cartels, or business monopolies by limiting or prohibiting non-competitive business practices. Violations of antitrust laws include such practices as price fixing, bid rigging, identical bidding and market division. (Garner, 2004)"
11678,AO,Accounting Officer
13611,AP (Accounts Payable),List of amounts due to our suppliers. Software system for deciding when to pay which bills based upon discounts and penalties that depend upon when paid.
11679,APC,See Average Propensity to Consume.
11680,APDM,See Alternative Project Delivery Method.
11681,APL (Approved/Acceptable Products List),See Acceptable Products List. Also see Qualified Products List (QPL) and Approved Brands List (ABL).
11682,Apparent Agency (a.k.a. “estoppel agency”),"An agency relationship whereby the principal’s conduct implies that an agent has authority to act on the principal’s behalf and thereby the Principal becomes bound to and responsible for what the agent signed or did. (Garner, 2004)"
11683,Apparent Authority,"Occurs when a principal allows or permits a person to function in a capacity that creates the illusion that the person is an authorized agent of the principal. Also see Actual Authority. (Garner, 2004)"
11684,Apparent Low Bidder,"After conducting a price analysis from quotes/bids received, the buyer initially identifies the low bidder strictly based on the lowest price received before determining whether the bid is from a responsive and responsible bidder."
11685,Appeal,"An objection to a process, procedure or an award. An appeal may be taken to the proper authority responsible for receiving appeals by filing a Notice of Appeal within the required time period. This notice must be in writing, signed by a person of authority, (the contractor, an officer, if the contractor is a corporation, or its attorney) and should identify the contract by number, the final decision which is being appealed, and the agency issuing that final decision. Although express mail services are sufficient if you are certain that the Notice will be delivered within the specified timeframe, it is safer to send the Notice by registered mail which provides irrefutable proof of mailing within the specified time. Also see Appeal Process and Appeal Rights."
11686,Appeal Process,The appeal process varies among different public agencies but the goal of the agency should remain constant – fair and equitable treatment of the parties. Also see Appeal and Appeal Rights.
11687,Appeal Rights,The legal right to challenge the agency and to ask for a decision to be reviewed and changed. Also see Appeal and Appeal Process.
11688,Appellate Court,"A court that hears cases appealed from lower courts. (Garner, 2004)"
11689,Approval Date,Canadian The date on which a procurement document was approved by the appropriate authority.
11690,Approved Equal,See Equal.
11691,Approved Products List,"A list of vendors or products that have been evaluated and have been determined to be capable of satisfactory performance for a specific application. Also see Qualified Products List (QPL), Acceptable Products List (APL), and Approved Source List. Also known as Approved Brands List (ABL)."
11692,Approved Source List,Canadian A list of suppliers that can supply specific goods and services and are approved on the basis of the suitability of their facilities and capabilities.
13612,AR (Accounts Receivable),"List of amounts due to us by customer. Software system for monitoring and updating amounts due and highlighting accounts according to their need for attention (e.g., more than 30 days past due, more than 60 days past due, etc)."
11693,Arbitrary and Capricious,"Actions by whim or caprice, with irrational disregard of facts or circumstances. May be the basis for courts to overrule or remand an administrative decision or ministerial action by a purchaser. A public official’s improper use of discretionary powers to the detriment of the public good."
11694,Architect,"An individual, partnership, or corporation that performs professional architectural services for the agency as an independent contractor.  A registered architect is an individual that is trained in the planning, design and oversight of the construction of buildings. To practice architecture means to offer or render services in connection with the design and construction of a building, or group of buildings and the space within the site surrounding the buildings that have as their principal purpose human occupancy or use.  Architects are required to have Errors and Omissions Insurance."
11695,Architectural and Engineering (A & E) Services,"Professional services within the scope of the practice of architecture and professional engineering, as defined by the jurisdiction, usually involving research, design, development, construction, alteration, or repair of real property."
11696,Archival Quality,"A characteristic of paper and paper products that enables the paper to retain a specified percentage of its original physical and appearance properties for an extended period of time under specified controlled conditions. (Business, 2002)"
13495,ART-TAB Spreadsheet model for arterial level of service (LOS) analysis,Generalized LOS analysis tool. Yields quick answers and inexpensive results due to low cost input data. Often used as a screening or first cut LOS call followed by a more refined ART-PLAN or HCS analysis.
11627,As defined under FAR 2.101,"Acquiring by contract, with appropriated funds, supplies or services (including construction) by and for the use of the Federal Government, through purchase or lease, whether the supplies or services already exist or must be created, developed, demonstrated, and evaluated."
11697,As To Form,Documents and agreements that are approved by an attorney for legal sufficiency prior to their execution while not commenting on the business merits of their contents. Also see Agreement.
13613,ASA (Average Speed of Answer),"A standard measure of service quality in in-bound call centers. A typical target is 20 seconds or less. In the US, the time between “ring” tones is six seconds, so this corresponds to a little over three rings."
13614,ASN (Advance Shipping Notice),An electronic message from the shipper (or supplier or sender) to the customer (or receiver) that the product has been shipped and is expected to arrive during a specified time interval.
13615,ASP (Application Service Provider),"A firm that provides both computing power and business software to businesses via the web, somewhat similar to timesharing firms in the 1970’s. A business that uses an ASP can be billed per transaction, so that a small firm might be able to use a powerful piece of software without having to pay a high fixed license fee for it. Another advantage is that the details of software maintenance and upgrades are invisible to the user. A risk in using an ASP is that the ASP may fail either physically or financially, in which case the business that uses it may have less recourse than if its information processing was done in-house."
13496,ASP Agency Strategic Plan,"A document which identifies goals and objectives that an individual
state agency will be focusing on over the next five years; adopted annually by individual state agencies in Florida."
11698,Assignment of Payment,An authorization from a supplier that allows for their accounts receivable to be paid to a third party. Payments made to a supplier’s creditor.
11699,Atomic Digital Clock Time,The atomic digital clock is located in Fort Collins Colorado and it is the master clock in the United States that provides the precise time as the basis for all other clock systems and for official bid openings. The telephone number to hear your local accurate local time is 1-303-499-7111.
13616,ATP (Available To Promise),"Amount of product that a facility can promise to deliver quickly because it has a) the required product and components on hand, b) not promised already to some other customer, and c) has production capacity to assemble the product, not already scheduled for production of other products for other customers."
11700,Attach,To take legal possession.
11701,Attorney Work Product Privilege,"An exemption under the Freedom of Information Act, which protects documents prepared by an agency’s attorney which reveal the theory of a case or proposed litigation from release. (Nash & Rawicz, 1997)"
13617,Attributes sampling,"In quality assurance, sampling in which a yes/no attribute is measured (e.g., defective or not). In contrast, see variables sampling."
11702,Auctioning,"An unethical practice that can occur during negotiations on competitive sealed proposals if the negotiating team discloses information from one offeror’s proposal to other proposers, who then change their offer so that it matches or is better than the first proposal evaluated. (Harney, 1992)"
11703,Auditor General of Canada (AG),"Canadian Audits government operations and provides the information that helps Parliament to hold the government accountable for its stewardship of public funds. (Summit Magazine, On-Line)"
